Nome da instância	Taxa horária sob demanda	vCPU	Memória	Armazenamento	Performance das redes
m7a.2xlarge	USD 0,46368	8	32 GiB	Somente EBS	Até 12500 Megabit
m7a.4xlarge	USD 0,92736	16	64 GiB	Somente EBS	Até 12500 Megabit
m7a.8xlarge	USD 1,85472	32	128 GiB	Somente EBS	12500 Megabit
m7a.12xlarge	USD 2,78208	48	192 GiB	Somente EBS	18750 Megabit
m7a.16xlarge	USD 3,70944	64	256 GiB	Somente EBS	25000 Megabit
m7a.24xlarge	USD 5,56416	96	384 GiB	Somente EBS	37500 Megabit
m7a.32xlarge	USD 7,41888	128	512 GiB	Somente EBS	50000 Megabit
m7a.48xlarge	USD 11,12832	192	768 GiB	Somente EBS	50000 Megabit
m7a.metal-48xl	USD 11,12832	192	768 GiB	Somente EBS	50000 Megabit
m7g.medium	USD 0,0408	1	4 GiB	Somente EBS	Até 12500 Megabit
m7g.large	USD 0,0816	2	8 GiB	Somente EBS	Até 12500 Megabit
m7g.xlarge	USD 0,1632	4	16 GiB	Somente EBS	Até 12500 Megabit
m7g.2xlarge	USD 0,3264	8	32 GiB	Somente EBS	Até 15 Gigabits
m7g.4xlarge	USD 0,6528	16	64 GiB	Somente EBS	Até 15 Gigabits
m7g.8xlarge	USD 1,3056	32	128 GiB	Somente EBS	15 Gigabit
m7g.12xlarge	USD 1,9584	48	192 GiB	Somente EBS	22500 Megabit
m7g.16xlarge	USD 2,6112	64	256 GiB	Somente EBS	
m7g.metal	USD 2,6112	64	256 GiB	Somente EBS	30 Gigabit
m7gd.medium	USD 0,0534	1	4 GiB	1 x 59 SSD NVMe	Até 12500 Megabit
m7gd.large	USD 0,1068	2	8 GiB	1 x 118 SSD NVMe	Até 12500 Megabit
m7gd.xlarge	USD 0,2136	4	16 GiB	1 x 237 SSD NVMe	Até 12500 Megabit
m7gd.2xlarge	USD 0,4271	8	32 GiB	1 x 475 SSD NVMe	Até 15 Gigabits
m7gd.4xlarge	USD 0,8543	16	64 GiB	1 x 950 SSD NVMe	Até 15 Gigabits
m7gd.8xlarge	USD 1,7086	32	128 GiB	1 x 1.900 SSD NVMe	15 Gigabit
m7gd.12xlarge	USD 2,5628	48	192 GiB	2 x 1425 SSD NVMe	22500 Megabit
m7gd.16xlarge	USD 3,4171	64	256 GiB	2 x 1.900 SSD NVMe	30 Gigabit
m7gd.metal	USD 3,4171	64	256 GiB	2 x 1.900 SSD NVMe	30 Gigabit
m7i.large	USD 0,1008	2	8 GiB	Somente EBS	Até 12500 Megabit
m7i.xlarge	USD 0,2016	4	16 GiB	Somente EBS	Até 12500 Megabit
m7i.2xlarge	USD 0,4032	8	32 GiB	Somente EBS	Até 12500 Megabit
m7i.4xlarge	USD 0,8064	16	64 GiB	Somente EBS	Até 12500 Megabit
m7i.8xlarge	USD 1,6128	32	128 GiB	Somente EBS	12500 Megabit
m7i.12xlarge	USD 2,4192	48	192 GiB	Somente EBS	18750 Megabit
m7i.16xlarge	USD 3,2256	64	256 GiB	Somente EBS	25000 Megabit
m7i.24xlarge	USD 4,8384	96	384 GiB	Somente EBS	37500 Megabit
m7i.48xlarge	USD 9,6768	192	768 GiB	Somente EBS	50000 Megabit
m7i.metal-24xl	USD 4,8384	96	384 GiB	Somente EBS	
m7i.metal-48xl	USD 9,6768	192	768 GiB	Somente EBS	50000 Megabit
m7i-flex.large	USD 0,09576	2	8 GiB	Somente EBS	Até 12500 Megabit
m7i-flex.xlarge	USD 0,19152	4	16 GiB	Somente EBS	Até 12500 Megabit
m7i-flex.2xlarge	USD 0,38304	8	32 GiB	Somente EBS	Até 12500 Megabit
m7i-flex.4xlarge	USD 0,76608	16	64 GiB	Somente EBS	Até 12500 Megabit
m7i-flex.8xlarge	USD 1,53216	32	128 GiB	Somente EBS	Até 12500 Megabit
m6a.large	USD 0,0864	2	8 GiB	Somente EBS	Até 12500 Megabit
m6a.xlarge	USD 0,1728	4	16 GiB	Somente EBS	Até 12500 Megabit
m6a.2xlarge	USD 0,3456	8	32 GiB	Somente EBS	Até 12500 Megabit
m6a.4xlarge	USD 0,6912	16	64 GiB	Somente EBS	Até 12500 Megabit
m6a.8xlarge	USD 1,3824	32	128 GiB	Somente EBS	12500 Megabit
m6a.12xlarge	USD 2,0736	48	192 GiB	Somente EBS	18750 Megabit
m6a.16xlarge	USD 2,7648	64	256 GiB	Somente EBS	25000 Megabit
m6a.24xlarge	USD 4,1472	96	384 GiB	Somente EBS	37500 Megabit
m6a.32xlarge	USD 5,5296	128	512 GiB	Somente EBS	50000 Megabit
m6a.48xlarge	USD 8,2944	192	768 GiB	Somente EBS	50000 Megabit
m6a.metal	USD 8,2944	192	768 GiB	Somente EBS	50000 Megabit
m6g.medium	USD 0,0385	1	4 GiB	Somente EBS	Até 10 gigabits
m6g.large	USD 0,077	2	8 GiB	Somente EBS	Até 10 gigabits
m6g.xlarge	USD 0,154	4	16 GiB	Somente EBS	
m6g.2xlarge	USD 0,308	8	32 GiB	Somente EBS	Até 10 gigabits
m6g.4xlarge	USD 0,616	16	64 GiB	Somente EBS	Até 10 gigabits
m6g.8xlarge	USD 1,232	32	128 GiB	Somente EBS	12 Gigabit
m6g.12xlarge	USD 1,848	48	192 GiB	Somente EBS	20 Gigabit
m6g.16xlarge	USD 2,464	64	256 GiB	Somente EBS	25 Gigabit
m6g.metal	USD 2,464	64	256 GiB	Somente EBS	25 Gigabit
m6gd.medium	USD 0,0452	1	4 GiB	1 x 59 SSD NVMe	Até 10 gigabits
m6gd.large	USD 0,0904	2	8 GiB	1 x 118 SSD NVMe	Até 10 gigabits
m6gd.xlarge	USD 0,1808	4	16 GiB	1 x 237 SSD NVMe	Até 10 gigabits
m6gd.2xlarge	USD 0,3616	8	32 GiB	1 x 475 SSD NVMe	Até 10 gigabits
m6gd.4xlarge	USD 0,7232	16	64 GiB	1 x 950 SSD NVMe	Até 10 gigabits
m6gd.8xlarge	USD 1,4464	32	128 GiB	1 x 1.900 SSD NVMe	12 Gigabit
m6gd.12xlarge	USD 2,1696	48	192 GiB	2 x 1425 SSD NVMe	20 Gigabit
m6gd.16xlarge	USD 2,8928	64	256 GiB	2 x 1.900 SSD NVMe	25 Gigabit
m6gd.metal	USD 2,8928	64	256 GiB	2 x 1.900 SSD NVMe	25 Gigabit
m6i.large	USD 0,096	2	8 GiB	Somente EBS	Até 12500 Megabit
m6i.xlarge	USD 0,192	4	16 GiB	Somente EBS	Até 12500 Megabit
m6i.2xlarge	USD 0,384	8	32 GiB	Somente EBS	Até 12500 Megabit
m6i.4xlarge	USD 0,768	16	64 GiB	Somente EBS	Até 12500 Megabit
m6i.8xlarge	USD 1,536	32	128 GiB	Somente EBS	
m6i.12xlarge	USD 2,304	48	192 GiB	Somente EBS	18750 Megabit
m6i.16xlarge	USD 3,072	64	256 GiB	Somente EBS	25000 Megabit
m6i.24xlarge	USD 4,608	96	384 GiB	Somente EBS	37500 Megabit
m6i.32xlarge	USD 6,144	128	512 GiB	Somente EBS	50000 Megabit
m6i.metal	USD 6,144	128	512 GiB	Somente EBS	50000 Megabit
m6id.large	USD 0,11865	2	8 GiB	1 x 118 SSD NVMe	Até 12500 Megabit
m6id.xlarge	USD 0,2373	4	16 GiB	1 x 237 SSD NVMe	Até 12500 Megabit
m6id.2xlarge	USD 0,4746	8	32 GiB	1 x 474 NVMe SSD	Até 12500 Megabit
m6id.4xlarge	USD 0,9492	16	64 GiB	1 x 950 SSD NVMe	Até 12500 Megabit
m6id.8xlarge	USD 1,8984	32	128 GiB	1 x 1.900 SSD NVMe	12500 Megabit
m6id.12xlarge	USD 2,8476	48	192 GiB	2 x 1425 SSD NVMe	18750 Megabit
m6id.16xlarge	USD 3,7968	64	256 GiB	2 x 1.900 SSD NVMe	25000 Megabit
m6id.24xlarge	USD 5,6952	96	384 GiB	4 x 1425 NVMe SSD	37500 Megabit
m6id.32xlarge	USD 7,5936	128	512 GiB	4 x 1.900 SSD NVMe	50000 Megabit
m6id.metal	USD 7,5936	128	512 GiB	4 x 1.900 SSD NVMe	50000 Megabit
m6idn.large	USD 0,15912	2	8 GiB	1 x 118 SSD NVMe	Até 25.000 megabits
m6idn.xlarge	USD 0,31824	4	16 GiB	1 x 237 SSD NVMe	Até 30.000 megabits
m6idn.2xlarge	USD 0,63648	8	32 GiB	1 x 474 NVMe SSD	Até 40.000 megabits
m6idn.4xlarge	USD 1,27296	16	64 GiB	1 x 950 SSD NVMe	Até 50.000 megabits
m6idn.8xlarge	USD 2,54592	32	128 GiB	1 x 1.900 SSD NVMe	
m6idn.12xlarge	USD 3,81888	48	192 GiB	2 x 1425 SSD NVMe	75000 Megabit
m6idn.16xlarge	USD 5,09184	64	256 GiB	2 x 1.900 SSD NVMe	100000 Megabit
m6idn.24xlarge	USD 7,63776	96	384 GiB	4 x 1425 NVMe SSD	150000 Megabit
m6idn.32xlarge	USD 10,18368	128	512 GiB	4 x 1.900 SSD NVMe	200000 Megabit
m6idn.metal	USD 10,18368	128	512 GiB	4 x 1.900 SSD NVMe	200000 Megabit
m6in.large	USD 0,13923	2	8 GiB	Somente EBS	Até 25.000 megabits
m6in.xlarge	USD 0,27846	4	16 GiB	Somente EBS	Até 30.000 megabits
m6in.2xlarge	USD 0,55692	8	32 GiB	Somente EBS	Até 40.000 megabits
m6in.4xlarge	USD 1,11384	16	64 GiB	Somente EBS	Até 50.000 megabits
m6in.8xlarge	USD 2,22768	32	128 GiB	Somente EBS	50000 Megabit
m6in.12xlarge	USD 3,34152	48	192 GiB	Somente EBS	75000 Megabit
m6in.16xlarge	USD 4,45536	64	256 GiB	Somente EBS	100000 Megabit
m6in.24xlarge	USD 6,68304	96	384 GiB	Somente EBS	150000 Megabit
m6in.32xlarge	USD 8,91072	128	512 GiB	Somente EBS	200000 Megabit
m6in.metal	USD 8,91072	128	512 GiB	Somente EBS	200000 Megabit
m5.large	USD 0,096	2	8 GiB	Somente EBS	Até 10 gigabits
m5.xlarge	USD 0,192	4	16 GiB	Somente EBS	Até 10 gigabits
m5.2xlarge	USD 0,384	8	32 GiB	Somente EBS	Até 10 gigabits
m5.4xlarge	USD 0,768	16	64 GiB	Somente EBS	Até 10 gigabits
m5.8xlarge	USD 1,536	32	128 GiB	Somente EBS	
m5.12xlarge	USD 2,304	48	192 GiB	Somente EBS	10 Gigabit
m5.16xlarge	USD 3,072	64	256 GiB	Somente EBS	20 Gigabit
m5.24xlarge	USD 4,608	96	384 GiB	Somente EBS	25 Gigabit
m5.metal	USD 4,608	96	384 GiB	Somente EBS	25 Gigabit
m5a.large	USD 0,086	2	8 GiB	Somente EBS	Até 10 gigabits
m5a.xlarge	USD 0,172	4	16 GiB	Somente EBS	Até 10 gigabits
m5a.2xlarge	USD 0,344	8	32 GiB	Somente EBS	Até 10 gigabits
m5a.4xlarge	USD 0,688	16	64 GiB	Somente EBS	Até 10 gigabits
m5a.8xlarge	USD 1,376	32	128 GiB	Somente EBS	Até 10 gigabits
m5a.12xlarge	USD 2,064	48	192 GiB	Somente EBS	10 Gigabit
m5a.16xlarge	USD 2,752	64	256 GiB	Somente EBS	12 Gigabit
m5a.24xlarge	USD 4,128	96	384 GiB	Somente EBS	20 Gigabit
m5ad.large	USD 0,103	2	8 GiB	1 x 75 SSD NVMe	Até 10 gigabits
m5ad.xlarge	USD 0,206	4	16 GiB	1 x 150 SSD NVMe	Até 10 gigabits
m5ad.2xlarge	USD 0,412	8	32 GiB	1 x 300 SSD NVMe	Até 10 gigabits
m5ad.4xlarge	USD 0,824	16	64 GiB	2 x 300 SSD NVMe	Até 10 gigabits
m5ad.8xlarge	USD 1,648	32	128 GiB	2 x 600 SSD NVMe	Até 10 gigabits
m5ad.12xlarge	USD 2,472	48	192 GiB	2 x 900 SSD NVMe	10 Gigabit
m5ad.16xlarge	USD 3,296	64	256 GiB	4 x 600 SSD NVMe	12 Gigabit
m5ad.24xlarge	USD 4,944	96	384 GiB	4 x 900 SSD NVMe	
m5d.large	USD 0,113	2	8 GiB	1 x 75 SSD NVMe	Até 10 gigabits
m5d.xlarge	USD 0,226	4	16 GiB	1 x 150 SSD NVMe	Até 10 gigabits
m5d.2xlarge	USD 0,452	8	32 GiB	1 x 300 SSD NVMe	Até 10 gigabits
m5d.4xlarge	USD 0,904	16	64 GiB	2 x 300 SSD NVMe	Até 10 gigabits
m5d.8xlarge	USD 1,808	32	128 GiB	2 x 600 SSD NVMe	10 Gigabit
m5d.12xlarge	USD 2,712	48	192 GiB	2 x 900 SSD NVMe	10 Gigabit
m5d.16xlarge	USD 3,616	64	256 GiB	4 x 600 SSD NVMe	20 Gigabit
m5d.24xlarge	USD 5,424	96	384 GiB	4 x 900 SSD NVMe	25 Gigabit
m5d.metal	USD 5,424	96	384 GiB	4 x 900 SSD NVMe	25 Gigabit
m5dn.large	USD 0,136	2	8 GiB	1 x 75 SSD NVMe	Até 25 gigabits
m5dn.xlarge	USD 0,272	4	16 GiB	1 x 150 SSD NVMe	Até 25 gigabits
m5dn.2xlarge	USD 0,544	8	32 GiB	1 x 300 SSD NVMe	Até 25 gigabits
m5dn.4xlarge	USD 1,088	16	64 GiB	2 x 300 SSD NVMe	Até 25 gigabits
m5dn.8xlarge	USD 2,176	32	128 GiB	2 x 600 SSD NVMe	25 Gigabit
m5dn.12xlarge	USD 3,264	48	192 GiB	2 x SSD NVMe de 900 GB	50 Gigabit
m5dn.16xlarge	USD 4,352	64	256 GiB	4 x 600 SSD NVMe	75 Gigabit
m5dn.24xlarge	USD 6,528	96	384 GiB	4 x 900 SSD NVMe	100 Gigabit
m5dn.metal	USD 6,528	96	384 GiB	4 x 900 SSD NVMe	100 Gigabit
m5n.large	USD 0,119	2	8 GiB	Somente EBS	Até 25 gigabits
m5n.xlarge	USD 0,238	4	16 GiB	Somente EBS	
m5n.xlarge	USD 0,238	4	16 GiB	Somente EBS	Até 25 gigabits
m5n.2xlarge	USD 0,476	8	32 GiB	Somente EBS	Até 25 gigabits
m5n.4xlarge	USD 0,952	16	64 GiB	Somente EBS	Até 25 gigabits
m5n.8xlarge	USD 1,904	32	128 GiB	Somente EBS	25 Gigabit
m5n.12xlarge	USD 2,856	48	192 GiB	Somente EBS	50 Gigabit
m5n.16xlarge	USD 3,808	64	256 GiB	Somente EBS	75 Gigabit
m5n.24xlarge	USD 5,712	96	384 GiB	Somente EBS	100 Gigabit
m5n.metal	USD 5,712	96	384 GiB	Somente EBS	100 Gigabit
m5zn.large	USD 0,1652	2	8 GiB	Somente EBS	Até 25 gigabits
m5zn.xlarge	USD 0,3303	4	16 GiB	Somente EBS	Até 25 gigabits
m5zn.2xlarge	USD 0,6607	8	32 GiB	Somente EBS	Até 25 gigabits
m5zn.3xlarge	USD 0,991	12	48 GiB	Somente EBS	Até 25 gigabits
m5zn.6xlarge	USD 1,982	24	96 GiB	Somente EBS	50 Gigabit
m5zn.12xlarge	USD 3,9641	48	192 GiB	Somente EBS	100 Gigabit
m5zn.metal	USD 3,9641	48	192 GiB	Somente EBS	100 Gigabit
m4.large	USD 0,10	2	8 GiB	Somente EBS	Moderado
m4.xlarge	USD 0,20	4	16 GiB	Somente EBS	Alto
m4.2xlarge	USD 0,40	8	32 GiB	Somente EBS	Alto
m4.4xlarge	USD 0,80	16	64 GiB	Somente EBS	Alto
m4.10xlarge	USD 2,00	40	160 GiB	Somente EBS	10 Gigabit
m4.16xlarge	USD 3,20	64	256 GiB	Somente EBS	
c8g.medium	USD 0,03974	1	2 GiB	Somente EBS	até 12,5 gigabits
c8g.large	USD 0,07948	2	4 GiB	Somente EBS	até 12,5 gigabits
c8g.xlarge	USD 0,15896	4	8 GiB	Somente EBS	até 12,5 gigabits
c8g.2xlarge	USD 0,31792	8	16 GiB	Somente EBS	Até 15 Gigabits
c8g.4xlarge	USD 0,63584	16	32 GiB	Somente EBS	Até 15 Gigabits
c8g.8xlarge	USD 1,27168	32	64 GiB	Somente EBS	15 Gigabit
c8g.12xlarge	USD 1,90752	48	96 GiB	Somente EBS	22.5 Gigabit
c8g.16xlarge	USD 2,54336	64	128 GiB	Somente EBS	30 Gigabit
c8g.24xlarge	USD 3,81504	96	192 GiB	Somente EBS	40 Gigabit
c8g.48xlarge	USD 7,63008	192	384 GiB	Somente EBS	50 Gigabit
c8g.metal-24xl	USD 3,81504	96	192 GiB	Somente EBS	40 Gigabit
c8g.metal-48xl	USD 7,63008	192	384 GiB	Somente EBS	50 Gigabit
c7a.medium	USD 0,05132	1	2 GiB	Somente EBS	Até 12500 Megabit
c7a.large	USD 0,10264	2	4 GiB	Somente EBS	Até 12500 Megabit
c7a.xlarge	USD 0,20528	4	8 GiB	Somente EBS	Até 12500 Megabit
c7a.2xlarge	USD 0,41056	8	16 GiB	Somente EBS	Até 12500 Megabit
c7a.4xlarge	USD 0,82112	16	32 GiB	Somente EBS	Até 12500 Megabit
c7a.8xlarge	USD 1,64224	32	64 GiB	Somente EBS	12500 Megabit
c7a.12xlarge	USD 2,46336	48	96 GiB	Somente EBS	18750 Megabit
c7a.16xlarge	USD 3,28448	64	128 GiB	Somente EBS	
c7a.24xlarge	USD 4,92672	96	192 GiB	Somente EBS	37500 Megabit
c7a.32xlarge	USD 6,56896	128	256 GiB	Somente EBS	50000 Megabit
c7a.48xlarge	USD 9,85344	192	384 GiB	Somente EBS	50000 Megabit
c7a.metal-48xl	USD 9,85344	192	384 GiB	Somente EBS	50000 Megabit
c7g.medium	USD 0,0361	1	2 GiB	Somente EBS	Até 12500 Megabit
c7g.large	USD 0,0723	2	4 GiB	Somente EBS	Até 12500 Megabit
c7g.xlarge	USD 0,1445	4	8 GiB	Somente EBS	Até 12500 Megabit
c7g.2xlarge	USD 0,289	8	16 GiB	Somente EBS	Até 15 Gigabits
c7g.4xlarge	USD 0,5781	16	32 GiB	Somente EBS	Até 15 Gigabits
c7g.8xlarge	USD 1,1562	32	64 GiB	Somente EBS	15 Gigabit
c7g.12xlarge	USD 1,7342	48	96 GiB	Somente EBS	22500 Megabit
c7g.16xlarge	USD 2,3123	64	128 GiB	Somente EBS	30 Gigabit
c7g.metal	USD 2,3123	64	128 GiB	Somente EBS	30 Gigabit
c7gd.medium	USD 0,0454	1	2 GiB	1 x 59 SSD NVMe	Até 12500 Megabit
c7gd.large	USD 0,0907	2	4 GiB	1 x 118 SSD NVMe	Até 12500 Megabit
c7gd.xlarge	USD 0,1814	4	8 GiB	1 x 237 SSD NVMe	Até 12500 Megabit
c7gd.2xlarge	USD 0,3629	8	16 GiB	1 x 475 SSD NVMe	Até 15 Gigabits
c7gd.4xlarge	USD 0,7258	16	32 GiB	1 x 950 SSD NVMe	Até 15 Gigabits
c7gd.8xlarge	USD 1,4515	32	64 GiB	1 x 1.900 SSD NVMe	15 Gigabit
c7gd.12xlarge	USD 2,1773	48	96 GiB	2 x 1425 SSD NVMe	
c7gd.16xlarge	USD 2,903	64	128 GiB	2 x 1.900 SSD NVMe	30 Gigabit
c7gd.metal	USD 2,903	64	128 GiB	2 x 1.900 SSD NVMe	30 Gigabit
c7gn.medium	USD 0,0624	1	2 GiB	Somente EBS	Até 25 gigabits
c7gn.large	USD 0,1248	2	4 GiB	Somente EBS	Até 30 gigabits
c7gn.xlarge	USD 0,2496	4	8 GiB	Somente EBS	Até 40 gigabits
c7gn.2xlarge	USD 0,4992	8	16 GiB	Somente EBS	Até 50 gigabits
c7gn.4xlarge	USD 0,9984	16	32 GiB	Somente EBS	50 Gigabit
c7gn.8xlarge	USD 1,9968	32	64 GiB	Somente EBS	100 Gigabit
c7gn.12xlarge	USD 2,9952	48	96 GiB	Somente EBS	150 Gigabit
c7gn.16xlarge	USD 3,9936	64	128 GiB	Somente EBS	200 Gigabit
c7gn.metal	USD 3,9936	64	128 GiB	Somente EBS	200 Gigabit
c7i.large	USD 0,08925	2	4 GiB	Somente EBS	Até 12500 Megabit
c7i.xlarge	USD 0,1785	4	8 GiB	Somente EBS	Até 12500 Megabit
c7i.2xlarge	USD 0,357	8	16 GiB	Somente EBS	Até 12500 Megabit
c7i.4xlarge	USD 0,714	16	32 GiB	Somente EBS	Até 12500 Megabit
c7i.8xlarge	USD 1,428	32	64 GiB	Somente EBS	12500 Megabit
c7i.12xlarge	USD 2,142	48	96 GiB	Somente EBS	18750 Megabit
c7i.16xlarge	USD 2,856	64	128 GiB	Somente EBS	25000 Megabit
c7i.24xlarge	USD 4,284	96	192 GiB	Somente EBS	37500 Megabit
c7i.48xlarge	USD 8,568	192	384 GiB	Somente EBS	
c7i.metal-24xl	USD 4,284	96	192 GiB	Somente EBS	37500 Megabit
c7i.metal-48xl	USD 8,568	192	384 GiB	Somente EBS	50000 Megabit
c7i-flex.large	USD 0,08479	2	4 GiB	Somente EBS	Até 12500 Megabit
c7i-flex.xlarge	USD 0,16958	4	8 GiB	Somente EBS	Até 12500 Megabit
c7i-flex.2xlarge	USD 0,33915	8	16 GiB	Somente EBS	Até 12500 Megabit
c7i-flex.4xlarge	USD 0,6783	16	32 GiB	Somente EBS	Até 12500 Megabit
c7i-flex.8xlarge	USD 1,3566	32	64 GiB	Somente EBS	Até 12500 Megabit
c6a.large	USD 0,0765	2	4 GiB	Somente EBS	Até 12500 Megabit
c6a.xlarge	USD 0,153	4	8 GiB	Somente EBS	Até 12500 Megabit
c6a.2xlarge	USD 0,306	8	16 GiB	Somente EBS	Até 12500 Megabit
c6a.4xlarge	USD 0,612	16	32 GiB	Somente EBS	Até 12500 Megabit
c6a.8xlarge	USD 1,224	32	64 GiB	Somente EBS	12500 Megabit
c6a.12xlarge	USD 1,836	48	96 GiB	Somente EBS	18750 Megabit
c6a.16xlarge	USD 2,448	64	128 GiB	Somente EBS	25000 Megabit
c6a.24xlarge	USD 3,672	96	192 GiB	Somente EBS	37500 Megabit
c6a.32xlarge	USD 4,896	128	256 GiB	Somente EBS	50000 Megabit
c6a.48xlarge	USD 7,344	192	384 GiB	Somente EBS	50000 Megabit
c6a.metal	USD 7,344	192	384 GiB	Somente EBS	50000 Megabit
c6g.medium	USD 0,034	1	2 GiB	Somente EBS	Até 10 gigabits
c6g.large	USD 0,068	2	4 GiB	Somente EBS	
c6g.xlarge	USD 0,136	4	8 GiB	Somente EBS	Até 10 gigabits
c6g.2xlarge	USD 0,272	8	16 GiB	Somente EBS	Até 10 gigabits
c6g.4xlarge	USD 0,544	16	32 GiB	Somente EBS	Até 10 gigabits
c6g.8xlarge	USD 1,088	32	64 GiB	Somente EBS	12 Gigabit
c6g.12xlarge	USD 1,632	48	96 GiB	Somente EBS	20 Gigabit
c6g.16xlarge	USD 2,176	64	128 GiB	Somente EBS	25 Gigabit
c6g.metal	USD 2,176	64	128 GiB	Somente EBS	25 Gigabit
c6gd.medium	USD 0,0384	1	2 GiB	1 x 59 SSD NVMe	Até 10 gigabits
c6gd.large	USD 0,0768	2	4 GiB	1 x 118 SSD NVMe	Até 10 gigabits
c6gd.xlarge	USD 0,1536	4	8 GiB	1 x 237 SSD NVMe	Até 10 gigabits
c6gd.2xlarge	USD 0,3072	8	16 GiB	1 x 475 SSD NVMe	Até 10 gigabits
c6gd.4xlarge	USD 0,6144	16	32 GiB	1 x 950 SSD NVMe	Até 10 gigabits
c6gd.8xlarge	USD 1,2288	32	64 GiB	1 x 1.900 SSD NVMe	12 Gigabit
c6gd.12xlarge	USD 1,8432	48	96 GiB	2 x 1425 SSD NVMe	20 Gigabit
c6gd.16xlarge	USD 2,4576	64	128 GiB	2 x 1.900 SSD NVMe	25 Gigabit
c6gd.metal	USD 2,4576	64	128 GiB	2 x 1.900 SSD NVMe	25 Gigabit
c6gn.medium	USD 0,0432	1	2 GiB	Somente EBS	Até 25 gigabits
c6gn.large	USD 0,0864	2	4 GiB	Somente EBS	Até 25 gigabits
c6gn.xlarge	USD 0,1728	4	8 GiB	Somente EBS	Até 25 gigabits
c6gn.2xlarge	USD 0,3456	8	16 GiB	Somente EBS	
c6gn.4xlarge	USD 0,6912	16	32 GiB	Somente EBS	25 Gigabit
c6gn.8xlarge	USD 1,3824	32	64 GiB	Somente EBS	50 Gigabit
c6gn.12xlarge	USD 2,0736	48	96 GiB	Somente EBS	75 Gigabit
c6gn.16xlarge	USD 2,7648	64	128 GiB	Somente EBS	100 Gigabit
